,Sex,Age,Smorking history,drinking history,Course,BMI,WHR,SBP,DBP,BUN,Scr,UA,TP,ALB,TBIL,DBIL,ALT,AST,FBG,HbA1c,UAER,HT,duration of HT
Scr,-0.26855233126993405,0.01569796818490872,0.2182346423618457,0.12011760583689529,0.018122211771197362,-0.0025631041471529986,-0.008240834204191862,0.120120563520513,0.15346567930390898,0.7156551540528236,1.0,0.40303009956082764,-0.18826952863174107,-0.2927235535905885,-0.025396636346176997,-0.042519567592313706,-0.05212061181057664,-0.034747850717828835,-0.0199025002324037,-0.11060152553013847,0.47639392020129356,0.20949485540598006,0.07421264007154786
UA,-0.24657312714887897,0.020356701402927276,0.19908543635882966,0.11393522916050848,0.030300118496695005,0.0029443229304669982,-0.0004297664254853452,0.08595051965395145,0.15818014239959385,0.3714479935497783,0.40303009956082764,1.0,-0.06605803145613548,-0.023571210309785845,0.1107190293494662,0.0003516078756563206,0.07431196611408748,0.06460834124296477,-0.08583489563658513,-0.04605137317460033,0.13889387333440972,0.2019044367270956,0.13814337386246356
TP,0.1294948913986034,0.026189179628128792,-0.1180810087522041,-0.08442923693556913,-0.00027381411021902595,-0.024864116123702387,0.0021563038714577944,-0.08853793231926742,-0.07071041095363272,-0.13971414902139626,-0.18826952863174107,-0.06605803145613548,1.0,0.5141753426609998,0.016535138360170534,0.030009317926045335,0.056506552544950815,0.15958160909432756,0.07145084041338837,-0.12160205138893268,-0.2405448045555388,-0.054520986047638,0.011225471161979694
ALB,0.011740249371014328,-0.029968283884870977,-0.06348964855120869,0.009365577368415713,-0.08351914248855913,0.03132975636206928,0.00482124660525189,-0.1430413195359836,-0.08719611829469805,-0.2410393879807683,-0.2927235535905885,-0.023571210309785845,0.5141753426609998,1.0,0.1047963190195484,0.08572703177151274,0.21650630972896223,0.21449703149461036,-0.030754465010658483,-0.18317980787320465,-0.33101919773264904,-0.06909148314452211,0.030864838229143595
TBIL,-0.14286136155991438,0.006259271940117799,0.09634539936441941,0.09293601121640041,0.06551765927581642,0.011028697120185602,-0.0034280411053702114,0.012674921601261968,0.05783521443361494,-0.004658957084283804,-0.025396636346176997,0.1107190293494662,0.016535138360170534,0.1047963190195484,1.0,0.03473530556411304,0.09229994871860335,0.03614174280921346,-0.016513509907698714,0.05809732880712534,-0.03917707655656534,-0.055658745549840606,-0.015652512823241076
DBIL,0.02526159027822543,-0.031941311634136854,-0.02563659969858323,-0.0028086046782676427,-0.023625787916653266,0.025895471806964894,-0.002735254369893935,-0.038533780285538936,-0.0010727973862295476,-0.023517421286649895,-0.042519567592313706,0.0003516078756563206,0.030009317926045335,0.08572703177151274,0.03473530556411304,1.0,0.022853698340914986,0.03913506390276089,0.021122783745783615,0.010382332395155857,-0.025091765123844832,-0.06600990073228126,-0.02488058625326198
ALT,-0.06457179285997754,-0.04592330902864085,0.019736354457667755,0.041504572816463435,-0.08851088652424745,0.038997202019818,-0.00965643721189706,-0.0005192790207157933,0.0039630653048233835,-0.06440839211120652,-0.05212061181057664,0.07431196611408748,0.056506552544950815,0.21650630972896223,0.09229994871860335,0.022853698340914986,1.0,0.7524556005892827,-0.0029948887656578308,0.04838788551825512,-0.09810484362537947,0.031557827112134104,0.032779518406559266
AST,0.03001607400236195,0.037891253010600194,-0.034149681538570016,-0.00832039131150664,-0.04213578847623158,0.003481239195344745,-0.005900211679978433,0.002948338375801436,-0.027998258507952414,-0.02214999496287426,-0.034747850717828835,0.06460834124296477,0.15958160909432756,0.21449703149461036,0.03614174280921346,0.03913506390276089,0.7524556005892827,1.0,-0.023837115042613273,-0.01916588555874575,-0.06150980773362056,0.07141096273088825,0.03198522456349542
FBG,0.002948180945019365,-0.043330665690912054,0.040564010223709306,0.07909561544363729,0.11401621765552909,-0.011046223714745325,-0.00884918641386254,0.0131814756567489,0.04031275944192019,0.07916760628689398,-0.0199025002324037,-0.08583489563658513,0.07145084041338837,-0.030754465010658483,-0.016513509907698714,0.021122783745783615,-0.0029948887656578308,-0.023837115042613273,1.0,0.43654627257862594,0.011721918417176229,-0.010075892692837107,-0.06083177946602577
HbA1c,0.006830079651244352,-0.029321415209892263,-0.014847021637850405,0.04689593254306443,0.1346907578309133,0.031460271799380456,-0.04533354296896016,0.09570337529636556,0.06195752553685672,-0.061632431122347085,-0.11060152553013847,-0.04605137317460033,-0.12160205138893268,-0.18317980787320465,0.05809732880712534,0.010382332395155857,0.04838788551825512,-0.01916588555874575,0.43654627257862594,1.0,-0.042859310340467055,-0.012352601461525493,-0.014590727028522156
UAER,-0.13729562016677527,-0.15453947038723417,0.11022649878333352,0.06278105809640065,-0.012470751224484473,-0.01183879545087973,0.08207477558290045,0.18368677695000055,0.1936920012251285,0.3368393994708761,0.47639392020129356,0.13889387333440972,-0.2405448045555388,-0.33101919773264904,-0.03917707655656534,-0.025091765123844832,-0.09810484362537947,-0.06150980773362056,0.011721918417176229,-0.042859310340467055,1.0,0.1195611829681816,-0.018005318248109022
HT,-0.02642812836921857,0.12675717644060155,0.0008938706536356991,-0.04153634449516708,0.13998732036419717,0.04814772683143072,-0.0566224027689897,0.34742163759708333,0.19553122027690195,0.16983932458380666,0.20949485540598006,0.2019044367270956,-0.054520986047638,-0.06909148314452211,-0.055658745549840606,-0.06600990073228126,0.031557827112134104,0.07141096273088825,-0.010075892692837107,-0.012352601461525493,0.1195611829681816,1.0,0.4528395022277657
duration of HT,0.03751841139239355,0.23695844423456242,0.01185381171810129,-0.008007374541128941,0.19056053812367535,0.0321840687666306,-0.024473432163026006,0.20625245516580848,0.06540141530992007,0.07615623319789187,0.07421264007154786,0.13814337386246356,0.011225471161979694,0.030864838229143595,-0.015652512823241076,-0.02488058625326198,0.032779518406559266,0.03198522456349542,-0.06083177946602577,-0.014590727028522156,-0.018005318248109022,0.4528395022277657,1.0
